Status,Text
False,Study English vocabulary
False,Read a book
False,Complete project report
False,Go to the gym
False,Prepare shopping list
False,Clean email inbox
False,Do Python homework
False,Check bill payments
False,Message a friend
False,Watch a movie
False,Organize meeting notes
False,Prepare blog post draft
False,Plan house cleaning
False,Water plants
False,Try new recipe
False,Make doctor appointment
False,Check car maintenance
False,Prepare slides for presentation
False,Write diary
False,Enroll in online course
False,Do laundry
False,Make weekly plan
False,Meet with family
False,Make backup
False,Go for a walk
False,Research new app
False,Organize wardrobe
False,Check bank transactions
False,Do meditation
False,Update LinkedIn profile
False,Clean coffee machine
False,Check event calendar
False,Edit photos
